dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir	message
flower_91	1	28	0.155263	success	5	24	0.267431	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_91/train/ours_31500/renders	
flower_92	1	28	0.153842	success	5	24	0.273947	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_92/train/ours_31500/renders	
flower_93	1	28	0.144882	success	5	24	0.250974	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_93/train/ours_31500/renders	
flower_94	1	28	0.151909	success	5	24	0.278006	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_94/train/ours_31500/renders	
flower_95	1	28	0.139286	success	5	24	0.264906	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_95/train/ours_31500/renders	
flower_96	1	28	0.044942	success	5	24	0.169351	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_96/train/ours_31500/renders	
flower_97	1	28	0.122377	success	5	24	0.231216	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_97/train/ours_31500/renders	
flower_98	1	28	0.167388	success	5	24	0.297439	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_98/train/ours_31500/renders	
flower_99	1	28	0.136606	success	5	24	0.252193	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_99/train/ours_31500/renders	
flower_100	1	28	0.149466	success	5	24	0.264911	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_100/train/ours_31500/renders	
flower_101	1	28	0.137965	success	5	24	0.257485	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_101/train/ours_31500/renders	
flower_102	1	28	0.113340	success	5	24	0.239253	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_102/train/ours_31500/renders	
flower_103	1	28	0.130420	success	5	24	0.250450	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_103/train/ours_31500/renders	
flower_104	1	28	0.130285	success	5	24	0.242211	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_104/train/ours_31500/renders	
flower_105	1	28	0.140618	success	5	24	0.253572	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_105/train/ours_31500/renders	
flower_106	1	28	0.168153	success	5	24	0.286902	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_106/train/ours_31500/renders	
